Region,Location,Customer Service,Experience,Product Style
Gujarat,Ahmedabad,281,362,98
Gujarat,Anand,5,14,4
Gujarat,Baroda,108,174,61
Gujarat,Bhuj,14,12,5
Gujarat,Gandhidham,1,5,2
Gujarat,Gandhinagar,3,10,9
Gujarat,Jamnagar,6,32,13
Gujarat,Junagadh,5,14,3
Gujarat,Rajkot,19,51,15
Gujarat,Surat,63,222,36
Gujarat,Vapi,56,133,19
MPCG,Ambikapur,3,1,0
MPCG,Bhilai,2,0,0
MPCG,Bhopal,9,19,12
MPCG,Bilaspur,8,22,6
MPCG,Gwalior,4,11,5
MPCG,Indore,11,19,8
MPCG,Jabalpur,7,9,6
MPCG,Raipur,12,26,11
Mumbai,Mumbai,296,209,148
ROMG,Amravati,9,10,5
ROMG,Aurangabad,1,0,2
ROMG,Goa,97,56,45
ROMG,Karad,15,4,1
ROMG,Kolhapur,52,57,31
ROMG,Nagpur,54,114,11
ROMG,Nashik,3,7,4
ROMG,Pune,40,37,40
ROMG,Sangli,9,4,3
